Unnamed: 0_level_0,Unnamed: 1_level_0,營業收入,營業收入,營業收入,營業收入,營業收入,累計營業收入,累計營業收入,累計營業收入,備註,當月營收
code,公司名稱,當月營收,上月營收,去年當月營收,上月比較 增減(%),去年同月 增減(%),當月累計營收,去年累計營收,前期比較 增減(%),備註,
1101,台泥,8319971,8480821,9391351,-1.89,-11.4,58343336,58192203,0.25,"以上營收不包含停業部門營收:110年7月1,366,138仟元暨109年7月787,270仟元;110年1-7月7,517,467仟元暨109年1-7月4,426,128仟元",8319971
1102,亞泥,6477630,6895504,6798878,-6.06,-4.72,46785988,40624521,15.16,-,6477630
1103,嘉泥,192983,168756,173129,14.35,11.46,1287896,1165448,10.5,-,192983
1104,環泥,493738,407130,477040,21.27,3.5,3398749,3068671,10.75,-,493738
1108,幸福,310860,325660,384035,-4.54,-19.05,2385075,2610731,-8.64,-,310860
1109,信大,492134,492001,656183,0.02,-25.0,4189866,3912131,7.09,-,492134
1110,東泥,159247,262145,124643,-39.25,27.76,1094366,895134,22.25,-,159247
1201,味全,1802387,1717230,1720915,4.95,4.73,11116390,10310618,7.81,-,1802387
1203,味王,494155,492972,490401,0.23,0.76,3434361,3541505,-3.02,-,494155
1210,大成,9150386,9082135,6397684,0.75,43.02,57924342,43344787,33.63,-,9150386
1213,大飲,52085,36210,53900,43.84,-3.36,257608,220397,16.88,-,52085
1215,卜蜂,2147399,2024955,1884932,6.04,13.92,13975614,12554025,11.32,-,2147399
1216,統一,41852623,39253261,40509558,6.62,3.31,274649755,259246103,5.94,-,41852623
1217,愛之味,441314,464795,430161,-5.05,2.59,2715548,2580634,5.22,-,441314
1218,泰山,895483,794155,831903,12.75,7.64,5605010,4756597,17.83,-,895483
1219,福壽,1263633,1024656,980279,23.32,28.9,8423405,6897543,22.12,-,1263633
1220,台榮,258235,272149,264847,-5.11,-2.49,1755861,1508035,16.43,-,258235
1225,福懋油,1084754,1034300,847382,4.87,28.01,7349457,5827264,26.12,-,1084754
1227,佳格,2558217,2701602,2474374,-5.3,3.38,18234724,17098443,6.64,-,2558217
