code,公司名稱,當月營收,上月營收,去年當月營收,上月比較 增減(%),去年同月 增減(%),當月累計營收,去年累計營收,前期比較 增減(%),備註,
1101,台泥,9674576,11368096,9752687,-14.89,-0.8,100384633,96223350,4.32,"以上營收不包含停業部門營收:111年11月 0 仟元暨110年11月 0 仟元；111年1-11月 0 仟元暨110年1-11月8,113,370仟元",9674576
1102,亞泥,8306062,7601097,8985672,9.27,-7.56,82003956,80928881,1.32,-,8306062
1103,嘉泥,221763,209429,197773,5.88,12.13,2025015,2046138,-1.03,-,221763
1104,環泥,631827,634981,592281,-0.49,6.67,6330757,5509449,14.9,-,631827
1108,幸福,383773,401202,268037,-4.34,43.17,3731154,3449777,8.15,-,383773
1109,信大,669587,527209,781722,27.0,-14.34,5872237,6600446,-11.03,-,669587
1110,東泥,198316,197515,160698,0.4,23.4,1626839,1655721,-1.74,-,198316
1201,味全,1596213,1719108,1636605,-7.14,-2.46,18529734,18201885,1.8,-,1596213
1203,味王,538061,534997,388602,0.57,38.46,5769452,5309678,8.65,-,538061
1210,大成,10074064,10031178,8855770,0.42,13.75,102881897,92373297,11.37,-,10074064
1213,大飲,30289,30818,35048,-1.71,-13.57,359159,397336,-9.6,-,30289
1215,卜蜂,2595219,2364883,2255138,9.73,15.08,26211109,22403152,16.99,-,2595219
1216,統一,40656907,42927337,39352262,-5.28,3.31,480084395,436202984,10.05,-,40656907
1217,愛之味,304862,316358,306835,-3.63,-0.64,4465082,4396699,1.55,-,304862
1218,泰山,927603,845561,893101,9.7,3.86,10257042,9177103,11.76,-,927603
1219,福壽,1445798,1443910,1403710,0.13,2.99,15533376,13396529,15.95,-,1445798
1220,台榮,350129,334007,332714,4.82,5.23,3239081,2902585,11.59,-,350129
1225,福懋油,1291214,1291928,1322704,-0.05,-2.38,13827751,11852183,16.66,-,1291214
1227,佳格,2778357,2182437,3684840,27.3,-24.6,25360333,30744920,-17.51,-,2778357
1229,聯華,941152,908917,1133311,3.54,-16.95,11096785,10157181,9.25,-,941152
1231,聯華食,869263,866871,748007,0.27,16.21,9499090,8454777,12.35,-,869263
1232,大統益,2258878,2198870,2105196,2.72,7.3,22145699,18695324,18.45,-,2258878
1233,天仁,177433,149886,161242,18.37,10.04,1654676,1597963,3.54,-,177433
1234,黑松,919746,817431,784292,12.51,17.27,8702369,8341555,4.32,-,919746
1235,興泰,2669,3211,1203,-16.87,121.86,54723,39863,37.27,與去年差異超過50%為本期銷貨收入較去年同期增加146.6萬,2669
1236,宏亞,190090,137410,147790,38.33,28.62,1788617,1491592,19.91,-,190090
1702,南僑,1849987,1720526,1663975,7.52,11.17,18532346,17800672,4.11,-,1849987
1737,臺鹽,273311,300649,252705,-9.09,8.15,3343183,3547876,-5.76,-,273311
3054,立萬利,3306,3192,4544,3.57,-27.24,30311,44904,-32.49,-,3306
1301,台塑,17363777,17040281,24523688,1.89,-29.19,234985330,248398864,-5.39,-,17363777
1303,南亞,25203688,26628431,36046868,-5.35,-30.08,331244699,377126405,-12.16,-,25203688
1304,台聚,4697381,5068232,6835786,-7.31,-31.28,61056670,65979162,-7.46,-,4697381
1305,華夏,1045011,1086250,1697043,-3.79,-38.42,16262185,18882826,-13.87,-,1045011
1307,三芳,821824,816520,801545,0.64,2.52,10021244,7705866,30.04,-,821824
1308,亞聚,794927,879815,1054461,-9.64,-24.61,8985645,8649194,3.88,-,794927
1309,台達化,1183195,1299689,1899476,-8.96,-37.7,16721320,19211800,-12.96,-,1183195
1310,台苯,726252,765461,1069782,-5.12,-32.11,11890403,10795394,10.14,-,726252
1312,國喬,1295194,1387943,1966650,-6.68,-34.14,16917813,20793532,-18.63,-,1295194
1313,聯成,5846961,5073138,7348472,15.25,-20.43,67405124,74325945,-9.31,-,5846961
1314,中石化,1179469,1455340,2985458,-18.95,-60.49,23778647,32247012,-26.26,本公司2022年受通膨、戰爭以及下游市場需求疲弱等因素影響，導致2022年1-11月累計營收和11月單月營收皆較去年同期減少。,1179469
1315,達新,220847,210962,237333,4.68,-6.94,2490213,2181515,14.15,-,220847
1321,大洋,425807,428190,470119,-0.55,-9.42,6037494,5958784,1.32,-,425807
1323,永裕,292641,319037,327627,-8.27,-10.67,3465412,3441807,0.68,-,292641
1324,地球,89461,72801,95952,22.88,-6.76,901332,975737,-7.62,-,89461
1325,恆大,43296,33874,47895,27.81,-9.6,514695,1137463,-54.75,因新冠肺炎防疫物資競爭激烈，致營收較去年同期減少。,43296
1326,台化,26691678,30444806,31632092,-12.32,-15.61,351065252,334537100,4.94,-,26691678
4306,炎洲,1052260,1067287,1500995,-1.4,-29.89,13695903,15764690,-13.12,-,1052260
1402,遠東新,21194378,22391824,22482606,-5.34,-5.72,243467833,216881143,12.25,-,21194378
1409,新纖,2734599,3487325,3935610,-21.58,-30.51,42964878,40505775,6.07,-,2734599
1410,南染,35454,35487,50600,-0.09,-29.93,363442,449039,-19.06,-,35454
1413,宏洲,186974,245129,276845,-23.72,-32.46,2933161,2711811,8.16,-,186974
1414,東和,45472,46849,68863,-2.93,-33.96,640245,738474,-13.3,-,45472
1417,嘉裕,133803,137357,167809,-2.58,-20.26,1374743,1170398,17.45,-,133803
1418,東華,883,1761,146,-49.85,504.79,14304,38388,-62.73,因本公司110.4.1董事會通過亞克力棉生產線停止生產。,883
1419,新紡,324541,357743,282768,-9.28,14.77,3077599,2449386,25.64,-,324541
1423,利華,16881,9328,14354,80.97,17.6,162435,169367,-4.09,-,16881
1434,福懋,2512236,2626721,2767029,-4.35,-9.2,32084241,29837790,7.52,-,2512236
1440,南紡,1786531,1870857,1742497,-4.5,2.52,20150258,18303984,10.08,-,1786531
1441,大東,104499,116047,130873,-9.95,-20.15,1450307,1404318,3.27,-,104499
1444,力麗,820065,853767,874440,-3.94,-6.21,11584544,9634655,20.23,-,820065
1445,大宇,142777,135940,123822,5.02,15.3,1366990,1117071,22.37,-,142777
1446,宏和,14527,16767,12554,-13.35,15.71,141442,174138,-18.77,-,14527
1447,力鵬,2184186,2721596,2376394,-19.74,-8.08,26289498,22260800,18.09,-,2184186
1449,佳和,137813,200910,204431,-31.4,-32.58,2309882,2552788,-9.51,-,137813
1451,年興,771499,642537,756766,20.07,1.94,8267742,7277571,13.6,-,771499
1452,宏益,137930,124496,216459,10.79,-36.27,1691285,1906404,-11.28,-,137930
1454,台富,139290,125290,140853,11.17,-1.1,1670278,1439575,16.02,-,139290
1455,集盛,615555,624203,1021085,-1.38,-39.71,8764841,10188310,-13.97,-,615555
1457,宜進,281242,359933,358065,-21.86,-21.45,4052654,3828567,5.85,-,281242
1459,聯發,127937,97027,199837,31.85,-35.97,1824260,2279234,-19.96,-,127937
1460,宏遠,804762,692200,1052751,16.26,-23.55,9106338,8970020,1.51,-,804762
1463,強盛,32091,44495,44173,-27.87,-27.35,453450,411640,10.15,-,32091
1464,得力,1009691,1036980,960824,-2.63,5.08,11335625,9405970,20.51,-,1009691
1465,偉全,64294,75030,57805,-14.3,11.22,551691,382378,44.27,-,64294
1466,聚隆,216057,161181,298287,34.04,-27.56,2571316,3279044,-21.58,-,216057
1467,南緯,438966,421799,625542,4.06,-29.82,5701332,5998818,-4.95,-,438966
1468,昶和,148304,96725,115132,53.32,28.81,1293792,1043504,23.98,-,148304
1470,大統新創,31526,47546,70285,-33.69,-55.14,814670,823051,-1.01,受歐美市場影響，訂單量不足,31526
1473,台南,573336,514145,507273,11.51,13.02,6979704,5217948,33.76,-,573336
1474,弘裕,239942,223226,320263,7.48,-25.07,2963752,3186640,-6.99,-,239942
1475,業旺,108272,106418,85892,1.74,26.05,1073654,376128,185.44,主要開始銷售染劑產品,108272
1476,儒鴻,2732916,2255613,3129326,21.16,-12.66,37094942,31729191,16.91,-,2732916
1477,聚陽,2462831,2431827,2255666,1.27,9.18,29614544,25752509,14.99,-,2462831
4414,如興,1308733,1377205,1170913,-4.97,11.77,15914370,15110177,5.32,-,1308733
4426,利勤,148599,123776,39974,20.05,271.73,1239843,566279,118.94,因遇季節性訂單出貨,148599
4438,廣越,1370364,1521658,1332726,-9.94,2.82,18505683,11521453,60.61,客戶需求增加，帶動營收增長。,1370364
4440,宜新實業,110364,115040,170169,-4.06,-35.14,1414986,1665346,-15.03,-,110364
1503,士電,2662000,2581368,2161437,3.12,23.15,28012160,25062220,11.77,-,2662000
1504,東元,5053213,4733008,4594287,6.76,9.98,53048609,46203286,14.81,-,5053213
1506,正道,95289,98107,89402,-2.87,6.58,1051940,962095,9.33,-,95289
