code,公司名稱,當月營收,上月營收,去年當月營收,上月比較 增減(%),去年同月 增減(%),當月累計營收,去年累計營收,前期比較 增減(%),備註,
1101,台泥,9971650,5456068,9779716,82.76,1.96,22945614,22037652,4.12,"以上營收不包含停業部門營收:111年3月 0 仟元暨110年3月1,367,351仟元；111年1-3月 0 仟元暨110年1-3月2,242,525仟元",9971650
1102,亞泥,8160414,4100676,7006606,99.0,16.46,19681816,17893141,9.99,-,8160414
1103,嘉泥,220463,134062,203954,64.44,8.09,512577,544527,-5.86,-,220463
1104,環泥,591593,348338,575019,69.83,2.88,1532253,1440498,6.36,-,591593
1108,幸福,345612,210635,349527,64.08,-1.12,880911,1045953,-15.77,-,345612
1109,信大,490643,181644,882786,170.11,-44.42,1239184,1812351,-31.62,-,490643
1110,東泥,178972,97391,146368,83.76,22.27,443221,387342,14.42,-,178972
1201,味全,1589975,1291903,1507135,23.07,5.49,4550665,4369688,4.14,-,1589975
1203,味王,517118,453678,500102,13.98,3.4,1534896,1487992,3.15,-,517118
1210,大成,8558697,7516358,8072006,13.86,6.02,26031973,22372328,16.35,-,8558697
1213,大飲,30575,24520,30196,24.69,1.25,100928,102266,-1.3,-,30575
1215,卜蜂,2477639,2048952,2030023,20.92,22.04,7199414,5718985,25.88,-,2477639
1216,統一,42112136,34113196,38463882,23.44,9.48,124274817,115428161,7.66,-,42112136
1217,愛之味,385888,312887,367154,23.33,5.1,1141588,1095839,4.17,-,385888
1218,泰山,927607,744482,799575,24.59,16.01,2650681,2274492,16.53,-,927607
1219,福壽,1651054,1130681,1257299,46.02,31.31,4214902,3718059,13.36,-,1651054
1220,台榮,285720,207781,269619,37.51,5.97,816490,708760,15.19,-,285720
1225,福懋油,1279502,934637,1125109,36.89,13.72,3505862,3095539,13.25,-,1279502
1227,佳格,2249275,1311370,1938626,71.52,16.02,6730455,8264616,-18.56,-,2249275
1229,聯華,1081223,643594,864164,67.99,25.11,2598567,2225293,16.77,-,1081223
1231,聯華食,810325,689899,705431,17.45,14.86,2524332,2373553,6.35,-,810325
1232,大統益,2167843,1467011,1805442,47.77,20.07,5698170,4842731,17.66,-,2167843
1233,天仁,138421,131798,148313,5.02,-6.66,458342,482671,-5.04,-,138421
1234,黑松,638270,465642,733787,37.07,-13.01,2044141,2214899,-7.7,-,638270
1235,興泰,1533,685,1009,123.79,51.93,3436,3821,-10.07,本期銷貨收入較去年同期增加52.4萬,1533
1236,宏亞,163958,96993,115293,69.04,42.2,544699,540612,0.75,-,163958
1702,南僑,1689826,1265823,1707671,33.49,-1.04,4764800,4660291,2.24,-,1689826
1737,臺鹽,371648,212495,290340,74.89,28.0,923153,790085,16.84,-,371648
3054,立萬利,3072,1240,4641,147.74,-33.8,8251,13551,-39.11,-,3072
1301,台塑,26474312,20591656,25018934,28.56,5.81,71003763,60601937,17.16,-,26474312
1303,南亞,37002485,29823052,34372304,24.07,7.65,102092039,89710690,13.8,-,37002485
1304,台聚,5732214,5270388,6209704,8.76,-7.68,17103418,16196176,5.6,-,5732214
1305,華夏,1845700,1571715,1823567,17.43,1.21,5307656,4978684,6.6,-,1845700
1307,三芳,1020535,759173,932378,34.42,9.45,2617268,2589090,1.08,-,1020535
1308,亞聚,714113,668580,679625,6.81,5.07,2141821,1852692,15.6,-,714113
1309,台達化,1640544,1415449,1845569,15.9,-11.1,4536374,4535681,0.01,-,1640544
1310,台苯,1296091,1121273,677091,15.59,91.42,3535609,2137707,65.39,主要產品之數量及價格均較去年成長。,1296091
1312,國喬,1711214,1188212,1835254,44.01,-6.75,4536710,5235131,-13.34,-,1711214
1313,聯成,8167285,4895616,7215445,66.82,13.19,19195641,17119947,12.12,-,8167285
1314,中石化,2608381,2232821,2915031,16.81,-10.51,7382270,7436525,-0.72,-,2608381
1315,達新,253082,134407,183809,88.29,37.68,614730,539319,13.98,-,253082
1321,大洋,674298,500568,633433,34.7,6.45,1771904,1534831,15.44,-,674298
1323,永裕,371815,256144,306780,45.15,21.19,992692,830227,19.56,-,371815
1324,地球,99839,68459,111375,45.83,-10.35,256030,251888,1.64,-,99839
1325,恆大,41885,40122,139477,4.39,-69.96,149980,470661,-68.13,因新冠肺炎防疫物資競爭激烈，致營收較去年同期減少。,41885
1326,台化,36365994,28718758,32179323,26.62,13.01,95399038,84154251,13.36,-,36365994
4306,炎洲,1608404,988431,1624079,62.72,-0.96,3891213,3948939,-1.46,-,1608404
1402,遠東新,23482793,19440141,19757228,20.79,18.85,63393874,56244212,12.71,-,23482793
1409,新纖,4597676,3673150,4214077,25.16,9.1,12391811,10055281,23.23,-,4597676
1410,南染,40992,25621,43164,59.99,-5.03,88018,108330,-18.75,-,40992
1413,宏洲,339348,262952,242906,29.05,39.7,888266,620108,43.24,-,339348
1414,東和,61181,66296,71482,-7.71,-14.41,185455,202939,-8.61,-,61181
1417,嘉裕,148058,122388,97834,20.97,51.33,401778,318747,26.04,因參與國軍服裝供售業務，致使營收增加。,148058
1418,東華,3199,245,3669,1205.71,-12.81,5195,12880,-59.66,因本公司110.4.1董事會通過亞克力棉生產線停止生產。,3199
1419,新紡,294277,194672,213510,51.16,37.82,749379,549888,36.27,-,294277
1423,利華,29143,12381,22269,135.38,30.86,60492,53920,12.18,-,29143
1434,福懋,3340529,2669478,3284511,25.13,1.7,8913782,8159917,9.23,-,3340529
1440,南紡,2060595,1945614,2176174,5.9,-5.31,5790996,5333105,8.58,-,2060595
1441,大東,181288,96209,142941,88.43,26.82,413002,372024,11.01,-,181288
1444,力麗,1039640,812838,817402,27.9,27.18,2900284,2202305,31.69,-,1039640
1445,大宇,124622,89855,100235,38.69,24.32,349884,268568,30.27,-,124622
1446,宏和,12271,6324,23483,94.03,-47.74,31158,83192,-62.54,因永和合建案已銷售完畢,12271
1447,力鵬,2981959,1813420,2298590,64.43,29.72,6363236,5878347,8.24,-,2981959
1449,佳和,263710,145736,248198,80.95,6.24,612920,589453,3.98,-,263710
1451,年興,661448,641972,723142,3.03,-8.53,1972609,1737738,13.51,-,661448
1452,宏益,193024,147000,201142,31.3,-4.03,515193,513362,0.35,-,193024
1454,台富,176139,120473,127728,46.2,37.9,450137,367005,22.65,-,176139
1455,集盛,1139439,768783,825740,48.21,37.99,2821857,2363278,19.4,-,1139439
1457,宜進,451942,370055,362143,22.12,24.79,1206715,936626,28.83,-,451942
1459,聯發,238035,177350,256290,34.21,-7.12,596850,674591,-11.52,-,238035
1460,宏遠,959483,808271,733251,18.7,30.85,2634239,2142152,22.97,-,959483
1463,強盛,52762,36908,40940,42.95,28.87,133840,106948,25.14,-,52762
1464,得力,1139904,859396,918042,32.64,24.16,2975810,2428879,22.51,-,1139904
1465,偉全,54939,30591,28521,79.59,92.62,130260,73380,77.51,去年因疫情影響基期低。,54939
1466,聚隆,319131,211338,315388,51.0,1.18,809407,782502,3.43,-,319131
1467,南緯,643532,492880,542767,30.56,18.56,1679531,1625835,3.3,-,643532
1468,昶和,110588,83401,84514,32.59,30.85,318400,240471,32.4,-,110588
1470,大統新創,130233,77522,81307,67.99,60.17,299924,201729,48.67,2021年Q4-2022年Q1訂單增加使營收成長。,130233
1473,台南,768899,757514,610081,1.5,26.03,2323623,1703421,36.4,-,768899
1474,弘裕,349784,235820,328823,48.32,6.37,888242,789530,12.5,-,349784
1475,業旺,104181,75864,18677,37.32,457.8,266888,44377,501.41,主要開始銷售染劑產品,104181
1476,儒鴻,3724585,2772040,3111846,34.36,19.69,10177731,8219476,23.82,-,3724585
1477,聚陽,2556267,2557570,2628521,-0.05,-2.74,7971528,6816799,16.93,-,2556267
4414,如興,1311446,1352164,1382808,-3.01,-5.16,3995279,4276750,-6.58,-,1311446
4426,利勤,102056,61779,84314,65.19,21.04,241912,223455,8.25,-,102056
4438,廣越,945797,963545,523018,-1.84,80.83,3006025,1569231,91.56,客戶需求增加，帶動營收增長。,945797
4440,宜新實業,142072,127216,138955,11.67,2.24,416148,377422,10.26,-,142072
1503,士電,2759545,2017058,2519443,36.81,9.52,7735662,7115146,8.72,-,2759545
1504,東元,5176830,4029547,4157489,28.47,24.51,13876531,11459850,21.08,-,5176830
1506,正道,97344,84738,101710,14.87,-4.29,283430,255566,10.9,-,97344
1513,中興電,1976860,1435084,2204727,37.75,-10.33,4739274,4682713,1.2,-,1976860
1514,亞力,588575,474890,419387,23.93,40.34,1488584,1230455,20.97,-,588575
1515,力山,374324,395425,1302442,-5.33,-71.25,1633276,4038815,-59.56,客戶庫存管理減少採購量,374324
1517,利奇,512327,299980,405341,70.78,26.39,1225623,1009359,21.42,-,512327
1519,華城,570125,525084,709451,8.57,-19.63,1395393,1595992,-12.56,-,570125
1526,日馳,211980,135516,149344,56.42,41.94,512552,342419,49.68,-,211980
1527,鑽全,476021,263381,433439,80.73,9.82,1174443,1112782,5.54,-,476021
1528,恩德,362127,199306,344820,81.69,5.01,796025,759760,4.77,-,362127
1529,樂事綠能,13488,11260,15852,19.78,-14.91,43321,30381,42.59,-,13488
1530,亞崴,175393,186759,412591,-6.08,-57.48,625410,803987,-22.21,受烏俄戰爭及船運缺櫃影響出貨遞延,175393
1531,高林股,307268,180022,265125,70.68,15.89,763377,624196,22.29,-,307268
1532,勤美,1812987,1212553,1655763,49.51,9.49,4603770,3655470,25.94,-,1812987
1535,中宇,704652,608349,722161,15.83,-2.42,2093624,2173956,-3.69,-,704652
1537,廣隆,613512,396270,646022,54.82,-5.03,1669627,1695958,-1.55,-,613512
1538,正峰,20063,13288,28964,50.98,-30.73,62375,61275,1.79,-,20063
1539,巨庭,279659,219689,217037,27.29,28.85,820050,615378,33.25,-,279659
1540,喬福,43677,16135,40439,170.69,8.0,103955,118604,-12.35,會計師調去年營收32437仟元於本月入帳,43677
1541,錩泰,574301,382722,474909,50.05,20.92,1586239,1279384,23.98,-,574301
1558,伸興,800122,432660,933640,84.93,-14.3,1979715,2545221,-22.21,-,800122
1560,中砂,583052,530672,521795,9.87,11.73,1644860,1464737,12.29,-,583052
1583,程泰,430820,376284,693407,14.49,-37.86,1387112,1506666,-7.93,-,430820
1597,直得,144907,117905,154057,22.9,-5.93,393435,418654,-6.02,-,144907
2049,上銀,2711936,2453621,2159885,10.52,25.55,7567040,5991447,26.29,-,2711936
2371,大同,2894545,2048194,2288969,41.32,26.45,7669768,6568089,16.77,-,2894545
3167,大量,275429,212787,364680,29.43,-24.47,751249,958003,-21.58,-,275429
4526,東台,661756,457626,792628,44.6,-16.51,1663572,1845357,-9.85,-,661756
4532,瑞智,1948374,1529427,2232338,27.39,-12.72,5570738,5828006,-4.41,-,1948374
4540,全球傳動,328654,176460,293560,86.24,11.95,783968,644817,21.57,-,328654
4555,氣立,162610,139745,171354,16.36,-5.1,467315,446565,4.64,-,162610
4562,穎漢,66212,46932,58119,41.08,13.92,178517,178608,-0.05,-,66212
4564,元翎,184816,187134,207631,-1.23,-10.98,582403,581905,0.08,-,184816
4566,時碩工業,477869,387342,405499,23.37,17.84,1299207,1132691,14.7,-,477869
4572,駐龍,50854,33645,31864,51.14,59.59,120934,73365,64.83,"航太景氣可望逐步復甦,客戶需求增加,營收隨之成長",50854
4576,大銀微系統,339690,223954,285713,51.67,18.89,856437,694980,23.23,-,339690
4583,台灣精銳,340819,257615,288823,32.29,18.0,861065,779564,10.45,-,340819
6606,建德工業,106208,42957,86564,147.24,22.69,213164,189697,12.37,-,106208
8222,寶一,29754,31754,28223,-6.29,5.42,97435,79351,22.78,-,29754
8374,羅昇,392310,244582,330271,60.4,18.78,934706,878085,6.44,-,392310
8996,高力,223177,124644,187579,79.05,18.97,534755,503733,6.15,-,223177
1603,華電,316351,146174,327643,116.42,-3.44,706643,738424,-4.3,-,316351
1604,聲寶,750523,632949,670122,18.57,11.99,2398336,2108570,13.74,-,750523
1605,華新,16037946,13028634,11422132,23.09,40.41,42565909,28854377,47.51,-,16037946
1608,華榮,1042822,897613,915976,16.17,13.84,2774574,2249784,23.32,-,1042822
1609,大亞,2647479,1799952,2410381,47.08,9.83,6742723,6080849,10.88,-,2647479
1611,中電,148084,101511,150794,45.87,-1.79,391926,460847,-14.95,-,148084
1612,宏泰,579505,474197,613523,22.2,-5.54,1656512,1459148,13.52,-,579505
1614,三洋電,461047,460903,383729,0.03,20.14,1507702,1321673,14.07,-,461047
1615,大山,479433,218138,354433,119.78,35.26,1024545,786897,30.2,-,479433
1616,億泰,371036,251291,264305,47.65,40.38,857718,627204,36.75,-,371036
1617,榮星,396087,253983,438642,55.95,-9.7,937523,1033489,-9.28,-,396087
1618,合機,338319,139086,203031,143.24,66.63,701581,812470,-13.64,"111年3月業主通知交貨較多,致超高壓線及高壓線出貨量較去年同期增加。",338319
4930,燦星網,715358,472504,899077,51.39,-20.43,1960431,2534371,-22.64,-,715358
5283,禾聯碩,792602,366477,520115,116.27,52.38,1748429,1293701,35.14,本月增加52.39%係因子公司禾聯電器認列中小學班班有冷氣標案所致,792602
1708,東鹼,648002,681223,306096,-4.87,111.69,1911009,846430,125.77,增加係因1.自製產品價格調漲(單月及累計)2.航運租金上揚(單月及累計)3.外銷硫酸鉀受遞延出貨影響，銷售數量增加(累計),648002
1709,和益,1036062,777063,884697,33.33,17.1,2920281,2340254,24.78,-,1036062
1710,東聯,2179385,2336045,2707364,-6.7,-19.5,6525184,6574763,-0.75,無,2179385
1711,永光,918518,643609,850637,42.71,7.98,2412233,2280803,5.76,-,918518
1712,興農,2181001,1550473,1806822,40.66,20.7,6073233,4829050,25.76,-,2181001
1713,國化,55759,50676,52974,10.03,5.25,161204,134092,20.21,-,55759
1714,和桐,1929326,1491087,1837409,29.39,5.0,4947099,4849024,2.02,-,1929326
1717,長興,5051983,3275069,4454630,54.25,13.4,12363833,11202419,10.36,-,5051983
1718,中纖,2795604,2295623,2921189,21.77,-4.29,8051736,7706638,4.47,本月份自結異業別合併營收資訊，未經會計師簽證或核閱,2795604
1721,三晃,342699,175985,278527,94.73,23.03,796849,726658,9.65,-,342699
1722,台肥,1481717,1107210,963772,33.82,53.74,4084273,2945516,38.66,本月營業收入較去年同月增加，主因肥料產品營收增加2.8億元、化工產品營收增加2.05億元。,1481717
1723,中碳,885939,656535,706902,34.94,25.32,2372566,1668856,42.16,-,885939
1725,元禎,1071627,680806,992652,57.4,7.95,2590604,2378625,8.91,-,1071627
1726,永記,967359,608193,766083,59.05,26.27,2448763,2090014,17.16,-,967359
1727,中華化,233593,190368,163192,22.7,43.13,601496,434407,38.46,-,233593
1730,花仙子,187037,161381,210838,15.89,-11.28,794978,902424,-11.9,-,187037
1732,毛寶,47939,40365,51520,18.76,-6.95,147672,158072,-6.57,-,47939
1735,日勝化,334862,227511,305493,47.18,9.61,800540,681553,17.45,-,334862
1773,勝一,1095480,890516,851219,23.01,28.69,3046421,2293802,32.81,-,1095480
1776,展宇,184762,120723,162575,53.04,13.64,417516,373912,11.66,-,184762
4720,德淵,337796,199354,325833,69.44,3.67,871538,831765,4.78,-,337796
4722,國精化,541216,339737,453905,59.3,19.23,1349378,1133554,19.03,-,541216
4739,康普,1031058,718046,635013,43.59,62.36,2457408,1693130,45.13,本月營收較去年同期增加主係動力電池材料及原料金屬銷售增加,1031058
4755,三福化,572835,493602,345212,16.05,65.93,1652610,969846,70.39,因原料漲價而調整價格及新產品與部分工程認列,572835
4764,雙鍵,290679,184097,255088,57.89,13.95,781745,724575,7.89,-,290679
4766,南寶,1976026,1337619,1699101,47.72,16.29,4947744,4292818,15.25,-,1976026
4770,上品,586480,362394,376990,61.83,55.56,1384668,765433,80.89,較去年同期增加，主係本期對銷貨客戶之設備出貨增加所致,586480
1701,中化,679100,530948,622390,27.9,9.11,1950774,2008813,-2.88,-,679100
1707,葡萄王,867825,483677,820392,79.42,5.78,2052580,1972200,4.07,-,867825
1720,生達,433700,322740,394959,34.38,9.8,1237368,1101105,12.37,-,433700
1731,美吾華,98009,86385,93247,13.45,5.1,338394,308633,9.64,美吾髮®及醫藥事業部業務擴展順利，營收持續成長， 111年第一季營收較去年同期成長近1成。,98009
1733,五鼎,175276,185661,175045,-5.59,0.13,521954,576388,-9.44,-,175276
1734,杏輝,262316,166743,209831,57.31,25.01,669333,618157,8.27,-,262316
1752,南光,141154,92399,160654,52.76,-12.13,375754,423094,-11.18,-,141154
1760,寶齡富錦,140211,194689,110681,-27.98,26.68,454566,374049,21.52,-,140211
1762,中化生,268869,117001,136367,129.8,97.16,529532,421610,25.59,客戶訂單需求增加，故當月營收較去年同期成長。,268869
1783,和康生,46371,40754,48641,13.78,-4.66,123262,111009,11.03,-,46371
1786,科妍,56981,23343,57676,144.1,-1.2,100368,111231,-9.76,-,56981
1789,神隆,301546,192401,241169,56.72,25.03,737939,641136,15.09,-,301546
1795,美時,1186652,1028926,1100414,15.32,7.83,3161377,3324389,-4.9,-,1186652
3164,景岳,33538,17231,40825,94.63,-17.84,90954,103766,-12.34,-,33538
3705,永信,734836,461248,620219,59.31,18.48,1954422,1778832,9.87,-,734836
4104,佳醫,563666,501960,541865,12.29,4.02,1708244,1627202,4.98,-,563666
4106,雃博,210577,192902,238995,9.16,-11.89,595393,580864,2.5,-,210577
4108,懷特,14352,9591,9348,49.64,53.53,34961,25174,38.87,懷特血寶®凍晶注射劑及專為癌症患者輔助治療的保健品「懷特耆力®」持續推展有成，業績較去年同期大幅成長53.53%。,14352
4119,旭富,97642,26959,78628,262.18,24.18,188023,323626,-41.9,-,97642
4133,亞諾法,36865,27531,35608,33.9,3.53,99232,114328,-13.2,-,36865
4142,國光生,19795,29901,4955,-33.79,299.49,52798,6931,661.76,本月營收較去年同期增加主因為外銷歐洲增加所致,19795
