Unnamed: 0_level_0,Unnamed: 1_level_0,營業收入,營業收入,營業收入,營業收入,營業收入,累計營業收入,累計營業收入,累計營業收入,備註,當月營收
code,公司名稱,當月營收,上月營收,去年當月營收,上月比較 增減(%),去年同月 增減(%),當月累計營收,去年累計營收,前期比較 增減(%),備註,
1101,台泥,9597804,8964476,9034955,7.06,6.22,76905616,76433746,0.61,"以上營收不包含停業部門營收:110年9月 0 仟元暨109年9月710,192仟元；110年1-9月8,113,370仟元暨109年1-9月5,814,746仟元",9597804
1102,亞泥,7831470,7193266,7256519,8.87,7.92,61810724,54564173,13.28,-,7831470
1103,嘉泥,201306,166022,163492,21.25,23.12,1655224,1481525,11.72,-,201306
1104,環泥,528251,431224,450890,22.5,17.15,4358224,3886551,12.13,-,528251
1108,幸福,269964,249977,380768,7.99,-29.1,2905016,3358346,-13.49,-,269964
1109,信大,376885,591358,675602,-36.26,-44.21,5158109,5213429,-1.06,-,376885
1110,東泥,140017,109276,143254,28.13,-2.25,1343660,1137024,18.17,-,140017
1201,味全,1821712,1917771,1770907,-5.0,2.86,14855873,13942044,6.55,-,1821712
1203,味王,504898,540451,540372,-6.57,-6.56,4479711,4591387,-2.43,-,504898
1210,大成,9493296,7913624,7188625,19.96,32.05,75331263,57304544,31.45,-,9493296
1213,大飲,34387,42312,41327,-18.72,-16.79,334307,326544,2.37,-,34387
1215,卜蜂,2048288,2037783,1920517,0.51,6.65,18061685,16366708,10.35,-,2048288
1216,統一,41123727,41942340,40353475,-1.95,1.9,357715822,340812432,4.95,-,41123727
1217,愛之味,463500,605106,565045,-23.4,-17.97,3784154,3785349,-0.03,-,463500
1218,泰山,888282,960802,819145,-7.54,8.44,7454094,6429624,15.93,-,888282
1219,福壽,1192316,1167521,1086298,2.12,9.75,10783242,8959094,20.36,-,1192316
1220,台榮,267658,265446,287415,0.83,-6.87,2288965,2055881,11.33,-,267658
1225,福懋油,1045897,1052440,835861,-0.62,25.12,9447794,7489528,26.14,-,1045897
1227,佳格,3294742,2813843,3958750,17.09,-16.77,24343309,24224530,0.49,-,3294742
1229,聯華,832723,793517,915901,4.94,-9.08,8049765,7099771,13.38,-,832723
1231,聯華食,706336,887835,694394,-20.44,1.71,6954172,6485644,7.22,-,706336
1232,大統益,1650643,1634616,1537742,0.98,7.34,14602286,12485761,16.95,-,1650643
1233,天仁,163902,137571,180532,19.13,-9.21,1296071,1419303,-8.68,-,163902
1234,黑松,790834,853329,876580,-7.32,-9.78,6792222,6869017,-1.11,-,790834
1235,興泰,24875,2284,28185,989.09,-11.74,36884,55355,-33.36,-,24875
1236,宏亞,174351,107836,193049,61.68,-9.68,1224116,1149808,6.46,-,174351
1702,南僑,1757618,1662626,1764497,5.71,-0.38,14499782,12677593,14.37,-,1757618
1737,臺鹽,444550,364313,282412,22.02,57.41,2900215,2302632,25.95,主係子公司臺鹽綠能隨工程完成程度所認列之工程收入增加，導致營收較去年同期增加。,444550
3054,立萬利,2032,3153,13083,-35.55,-84.46,37424,253931,-85.26,本期無電子相關營收致本期營收較去年同期減少。,2032
1301,台塑,21433730,23158607,15836081,-7.44,35.34,199191244,131178144,51.84,去年受疫情影響，石化產品價格大跌，今年疫情趨緩且供給減少，推升行情，因此累計合併營收比去年增加51.85%。,21433730
1303,南亞,35710126,37422239,23828101,-4.57,49.86,303626893,193972294,56.53,今年全球疫情逐漸得到控制，各國逐步施打疫苗，使民生需求強力反彈，各行業景氣顯著回溫，帶動本公司各項產品營收大幅增加。,35710126
1304,台聚,6396966,6074485,4307703,5.3,48.5,52409791,34628762,51.34,因市場環境影響，銷售量價皆優於去年同期，故營收增加。,6396966
1305,華夏,1963157,1751859,1134914,12.06,72.97,15099766,9140436,65.19,109年第二季全球爆發第一波新冠肺炎疫情，致需求驟降，今年因部分PVC大廠受疫情、歲修或天災而減產，價格大幅上漲。,1963157
1307,三芳,550855,513232,840399,7.33,-34.45,6268565,6175092,1.51,-,550855
1308,亞聚,853180,788485,473181,8.2,80.3,6651289,3985435,66.88,產品平均售價較去年同期提高所致,853180
1309,台達化,1813435,1846662,1371229,-1.79,32.24,15460336,10667065,44.93,-,1813435
1310,台苯,1029947,1130863,642101,-8.92,60.4,8856313,5557200,59.36,主要產品之數量及價格均較去年成長。,1029947
1312,國喬,1871954,1877342,1487844,-0.28,25.81,16821146,11471184,46.63,-,1871954
1313,聯成,7428330,7666218,5087822,-3.1,46.0,60054413,35054376,71.31,產品價格較去年同期增加。,7428330
