Unnamed: 0_level_0,Unnamed: 1_level_0,營業收入,營業收入,營業收入,營業收入,營業收入,累計營業收入,累計營業收入,累計營業收入,備註,當月營收
code,公司名稱,當月營收,上月營收,去年當月營收,上月比較 增減(%),去年同月 增減(%),當月累計營收,去年累計營收,前期比較 增減(%),備註,
1101,台泥,8596261,10933035,7502141,-21.37,14.58,8596261,7502141,14.58,-,8596261
1102,亞泥,7436331,8320877,5210319,-10.63,42.72,7436331,5210319,42.72,-,7436331
1103,嘉泥,195482,200989,165029,-2.73,18.45,195482,165029,18.45,-,195482
1104,環泥,511466,555150,359966,-7.86,42.08,511466,359966,42.08,-,511466
1108,幸福,417355,388124,296395,7.53,40.81,417355,296395,40.81,-,417355
1109,信大,739226,852626,476715,-13.3,55.06,739226,476715,55.06,去年營收因逢農曆春節假期致工作天數短少及大陸新冠肺炎疫情影響而下降,739226
1110,東泥,137866,160628,126262,-14.17,9.19,137866,126262,9.19,-,137866
1201,味全,1461118,1472723,1442127,-0.78,1.31,1461118,1442127,1.31,-,1461118
1203,味王,545268,519264,516699,5.0,5.52,545268,516699,5.52,-,545268
1210,大成,8480630,8214226,6175533,3.24,37.32,8480630,6175533,37.32,-,8480630
1213,大飲,32550,31241,31854,4.19,2.18,32550,31854,2.18,-,32550
1215,卜蜂,2037460,2057868,1686306,-0.99,20.82,2037460,1686306,20.82,-,2037460
1216,統一,45194815,34159430,41529085,32.3,8.82,45194815,41529085,8.82,-,45194815
1217,愛之味,411016,280185,405408,46.69,1.38,411016,405408,1.38,-,411016
1218,泰山,845756,694505,736974,21.77,14.76,845756,736974,14.76,-,845756
1219,福壽,1326083,1185413,1016959,11.86,30.39,1326083,1016959,30.39,-,1326083
1220,台榮,262424,258665,201511,1.45,30.22,262424,201511,30.22,-,262424
1225,福懋油,1076979,1006866,850077,6.96,26.69,1076979,850077,26.69,-,1076979
1227,佳格,4585987,3872526,2931475,18.42,56.43,4585987,2931475,56.43,本月營收增加主係來自於大陸子公司之營收貢獻,4585987
1229,聯華,761338,946645,602410,-19.57,26.38,761338,602410,26.38,-,761338
1231,聯華食,949444,921214,883070,3.06,7.51,949444,883070,7.51,-,949444
1232,大統益,1659919,1845049,1479927,-10.03,12.16,1659919,1479927,12.16,-,1659919
1233,天仁,170575,171334,223889,-0.44,-23.81,170575,223889,-23.81,-,170575
1234,黑松,835074,845690,831335,-1.25,0.44,835074,831335,0.44,-,835074
1235,興泰,1833,8603,1350,-78.69,35.77,1833,1350,35.77,-,1833
1236,宏亞,329513,231166,208484,42.54,58.05,329513,208484,58.05,本年度業績大幅成長主因：節慶挪移影響，使得今年度大量出貨落點在1月份，去年度則落在108年12月份。,329513
1702,南僑,1747421,1865641,1492225,-6.33,17.1,1747421,1492225,17.1,-,1747421
1737,臺鹽,280603,380378,230456,-26.23,21.75,280603,230456,21.75,-,280603
3054,立萬利,6420,9878,6403,-35.0,0.26,6420,6403,0.26,-,6420
1301,台塑,19215607,19710124,13858050,-2.5,38.66,19215607,13858050,38.66,-,19215607
1303,南亞,29346765,28327943,22313695,3.59,31.51,29346765,22313695,31.51,-,29346765
1304,台聚,5316928,5820253,3557870,-8.64,49.44,5316928,3557870,49.44,-,5316928
1305,華夏,1603671,1680981,1042016,-4.59,53.9,1603671,1042016,53.9,109年1月逢春節假期營收較低 ; 今年因部分PVC大廠受疫情、歲修或事故而減產，後疫情需求恢復，庫存偏低致價格大漲。,1603671
1307,三芳,949887,693860,748887,36.89,26.83,949887,748887,26.83,-,949887
1308,亞聚,653244,682421,383724,-4.27,70.23,653244,383724,70.23,銷售數量因年節差異，並同產品平均售價皆較去年同期提高所致。,653244
1309,台達化,1456463,1789006,1033894,-18.58,40.87,1456463,1033894,40.87,-,1456463
1310,台苯,730042,870907,768429,-16.17,-4.99,730042,768429,-4.99,-,730042
1312,國喬,1739674,1848773,1471941,-5.9,18.18,1739674,1471941,18.18,-,1739674
1313,聯成,5994488,6091072,3379946,-1.58,77.35,5994488,3379946,77.35,營收較去年同期增加77.35%，主要係去年1月逢農曆春節連假。,5994488
1314,中石化,2541752,1880643,2063432,35.15,23.18,2541752,2063432,23.18,-,2541752
1315,達新,185347,213256,165414,-13.08,12.05,185347,165414,12.05,-,185347
1321,大洋,464301,479536,356932,-3.17,30.08,464301,356932,30.08,-,464301
1323,永裕,279444,301482,237926,-7.3,17.44,279444,237926,17.44,-,279444
1324,地球,82015,102720,76543,-20.15,7.14,82015,76543,7.14,-,82015
1325,恆大,218816,295463,58992,-25.94,270.92,218816,58992,270.92,受新冠肺炎影響致營收增加,218816
1326,台化,26749217,26248571,22647976,1.9,18.1,26749217,22647976,18.1,-,26749217
4306,炎洲,1288713,1413578,999485,-8.83,28.93,1288713,999485,28.93,-,1288713
1402,遠東新,19154653,20535299,17466170,-6.72,9.66,19154653,17466170,9.66,-,19154653
1409,新纖,3145297,4167286,2560642,-24.52,22.83,3145297,2560642,22.83,-,3145297
1410,南染,36064,42139,24254,-14.41,48.69,36064,24254,48.69,-,36064
1413,宏洲,202561,163371,161063,23.98,25.76,202561,161063,25.76,-,202561
1414,東和,69139,87371,55721,-20.86,24.08,69139,55721,24.08,-,69139
1417,嘉裕,126957,90121,129664,40.87,-2.08,126957,129664,-2.08,-,126957
1418,東華,6471,11891,9629,-45.58,-32.79,6471,9629,-32.79,-,6471
1419,新紡,192552,232948,163148,-17.34,18.02,192552,163148,18.02,-,192552
1423,利華,17467,12124,12069,44.06,44.72,17467,12069,44.72,-,17467
1434,福懋,2591722,2527585,2642716,2.53,-1.92,2591722,2642716,-1.92,-,2591722
1440,南紡,1721188,1781769,1354218,-3.4,27.09,1721188,1354218,27.09,-,1721188
1441,大東,152172,109749,142499,38.65,6.78,152172,142499,6.78,-,152172
1444,力麗,749992,811117,744969,-7.53,0.67,749992,744969,0.67,-,749992
1445,大宇,78183,97272,98410,-19.62,-20.55,78183,98410,-20.55,-,78183
1446,宏和,29710,30113,34612,-1.33,-14.16,29710,34612,-14.16,-,29710
1447,力鵬,1703830,1437353,879978,18.53,93.62,1703830,879978,93.62,因新增子公司貿易營收,1703830
1449,佳和,139548,163037,111626,-14.4,25.01,139548,111626,25.01,-,139548
1451,年興,542580,695510,644616,-21.98,-15.82,542580,644616,-15.82,-,542580
1452,宏益,170473,183208,114486,-6.95,48.9,170473,114486,48.9,-,170473
1454,台富,120729,130643,118611,-7.58,1.78,120729,118611,1.78,-,120729
