Unnamed: 0_level_0,Unnamed: 1_level_0,營業收入,營業收入,營業收入,營業收入,營業收入,累計營業收入,累計營業收入,累計營業收入,備註,當月營收
code,公司名稱,當月營收,上月營收,去年當月營收,上月比較 增減(%),去年同月 增減(%),當月累計營收,去年累計營收,前期比較 增減(%),備註,
1101,台泥,10821264,9752687,10106165,10.95,7.07,107044614,105911461,1.06,"以上營收不包含停業部門營收:110年12月 0 仟元暨109年12月826,870仟元；110年1-12月8,113,370仟元暨109年1-12月8,453,624仟元",10821264
1102,亞泥,9403723,8985672,8320877,4.65,13.01,89654713,78241985,14.58,-,9403723
1103,嘉泥,171518,197773,200989,-13.27,-14.66,2217656,2057081,7.8,-,171518
1104,環泥,569625,592281,555150,-3.82,2.6,6079074,5426099,12.03,-,569625
1108,幸福,319368,268037,388046,19.15,-17.69,3769145,4530172,-16.79,-,319368
1109,信大,777783,781722,852626,-0.5,-8.77,7378229,7574940,-2.59,-,777783
1110,東泥,184874,160698,160628,15.04,15.09,1840595,1590987,15.68,-,184874
1201,味全,1614562,1636605,1472723,-1.34,9.63,19816447,18657684,6.21,-,1614562
1203,味王,507831,388602,519264,30.68,-2.2,5817509,6027250,-3.47,-,507831
1210,大成,9224406,8855770,8214226,4.16,12.29,101597703,80528084,26.16,-,9224406
1213,大飲,31545,35048,31241,-9.99,0.97,428881,409605,4.7,-,31545
1215,卜蜂,2438193,2255138,2057868,8.11,18.48,24841345,22189635,11.95,-,2438193
1216,統一,37291418,39352262,34159430,-5.23,9.16,473494402,447293289,5.85,-,37291418
1217,愛之味,314921,306835,280185,2.63,12.39,4711620,4616254,2.06,-,314921
1218,泰山,816534,893101,694505,-8.57,17.57,9993637,8470574,17.98,-,816534
1219,福壽,1383471,1403710,1185413,-1.44,16.7,14780000,12330108,19.86,-,1383471
1220,台榮,316808,332714,258665,-4.78,22.47,3219393,2775133,16.0,-,316808
1225,福懋油,1251774,1322704,1006866,-5.36,24.32,13103957,10213493,28.3,-,1251774
1227,佳格,3562124,3684840,3872526,-3.33,-8.01,34307044,34466244,-0.46,-,3562124
1229,聯華,1166930,1133311,946645,2.96,23.27,11324111,9555022,18.51,-,1166930
